S3D
I=24,J=27,K=3
90.0, 210.0, 0.0, 1797.66394043
90.0, 220.0, 0.0, 1747.26599121
90.0, 230.0, 0.0, 1730.89794922
90.0, 240.0, 0.0, 1711.60900879
90.0, 250.0, 0.0, 1689.30505371
90.0, 260.0, 0.0, 1653.78894043
100.0, 0.0, 0.0, 1165.86694336
100.0, 10.0, 0.0, 1403.53100586
100.0, 20.0, 0.0, 1465.72705078
100.0, 30.0, 0.0, 1636.74194336
100.0, 40.0, 0.0, 1759.55505371
100.0, 50.0, 0.0, 1894.00000000
100.0, 60.0, 0.0, 1997.18798828
100.0, 70.0, 0.0, 2065.98388672
100.0, 80.0, 0.0, 2026.03100586
100.0, 90.0, 0.0, 2104.35205078
100.0, 100.0, 0.0, 2171.24194336
100.0, 110.0, 0.0, 2156.46899414
100.0, 120.0, 0.0, 2178.99194336
100.0, 130.0, 0.0, 2174.41406250
100.0, 140.0, 0.0, 2127.91406250
100.0, 150.0, 0.0, 2026.25000000
100.0, 160.0, 0.0, 1986.25805664
100.0, 170.0, 0.0, 2063.30493164
100.0, 180.0, 0.0, 2004.78100586
100.0, 190.0, 0.0, 1979.60205078
100.0, 200.0, 0.0, 1905.02294922
100.0, 210.0, 0.0, 1834.13305664
100.0, 220.0, 0.0, 1757.92199707
100.0, 230.0, 0.0, 1714.35900879
100.0, 240.0, 0.0, 1706.06201172
100.0, 250.0, 0.0, 1670.19494629
100.0, 260.0, 0.0, 1622.79699707
110.0, 0.0, 0.0, 1269.21899414
110.0, 10.0, 0.0, 1380.35205078
110.0, 20.0, 0.0, 1597.39794922
110.0, 30.0, 0.0, 1795.30505371
110.0, 40.0, 0.0, 2058.79711914
110.0, 50.0, 0.0, 2194.34399414
110.0, 60.0, 0.0, 2181.01611328
110.0, 70.0, 0.0, 2284.37500000
110.0, 80.0, 0.0, 2265.60205078
110.0, 90.0, 0.0, 2244.67211914
110.0, 100.0, 0.0, 2384.34399414
110.0, 110.0, 0.0, 2317.99194336
110.0, 120.0, 0.0, 2248.81201172
110.0, 130.0, 0.0, 2253.77294922
110.0, 140.0, 0.0, 2145.57788086
110.0, 150.0, 0.0, 2092.39111328
110.0, 160.0, 0.0, 2016.46105957
110.0, 170.0, 0.0, 2077.21899414
110.0, 180.0, 0.0, 2052.55493164
110.0, 190.0, 0.0, 2030.78100586
110.0, 200.0, 0.0, 2023.47705078
110.0, 210.0, 0.0, 1938.38305664
110.0, 220.0, 0.0, 1841.45300293
110.0, 230.0, 0.0, 1757.42199707
110.0, 240.0, 0.0, 1763.89099121
110.0, 250.0, 0.0, 1739.89794922
110.0, 260.0, 0.0, 1664.19494629
120.0, 0.0, 0.0, 1327.89794922
120.0, 10.0, 0.0, 1704.26599121
120.0, 20.0, 0.0, 1803.63305664
120.0, 30.0, 0.0, 1874.25000000
120.0, 40.0, 0.0, 2251.07006836
120.0, 50.0, 0.0, 2328.79711914
120.0, 60.0, 0.0, 2307.68798828
120.0, 70.0, 0.0, 2311.11694336
120.0, 80.0, 0.0, 2294.98388672
120.0, 90.0, 0.0, 2272.02294922
120.0, 100.0, 0.0, 2461.42211914
120.0, 110.0, 0.0, 2370.24194336
120.0, 120.0, 0.0, 2364.44506836
120.0, 130.0, 0.0, 2286.00805664
