S
I=43,J=43
31.000000, 5.000000, 1.540360
32.000000, 5.000000, 1.826903
33.000000, 5.000000, 2.139454
34.000000, 5.000000, 2.460276
35.000000, 5.000000, 2.778541
36.000000, 5.000000, 3.080300
37.000000, 5.000000, 3.345859
38.000000, 5.000000, 3.552814
39.000000, 5.000000, 3.685624
40.000000, 5.000000, 3.743892
41.000000, 5.000000, 3.742166
42.000000, 5.000000, 3.701496
0.000000, 6.000000, 2.783158
1.000000, 6.000000, 2.772150
2.000000, 6.000000, 2.799110
3.000000, 6.000000, 2.815157
4.000000, 6.000000, 2.771574
5.000000, 6.000000, 2.606965
6.000000, 6.000000, 2.315500
7.000000, 6.000000, 2.037135
8.000000, 6.000000, 1.895928
9.000000, 6.000000, 1.893877
10.000000, 6.000000, 1.948654
11.000000, 6.000000, 1.994453
12.000000, 6.000000, 2.003747
13.000000, 6.000000, 1.970244
14.000000, 6.000000, 1.895602
15.000000, 6.000000, 1.783847
16.000000, 6.000000, 1.639880
17.000000, 6.000000, 1.469272
18.000000, 6.000000, 1.277770
19.000000, 6.000000, 1.071701
20.000000, 6.000000, 0.857281
21.000000, 6.000000, 0.641014
22.000000, 6.000000, 0.431392
23.000000, 6.000000, 0.247334
24.000000, 6.000000, 0.160651
25.000000, 6.000000, 0.260376
26.000000, 6.000000, 0.452349
27.000000, 6.000000, 0.666577
28.000000, 6.000000, 0.889236
29.000000, 6.000000, 1.117721
30.000000, 6.000000, 1.354089
31.000000, 6.000000, 1.619849
32.000000, 6.000000, 1.936327
33.000000, 6.000000, 2.279500
34.000000, 6.000000, 2.644404
35.000000, 6.000000, 3.021979
36.000000, 6.000000, 3.394036
37.000000, 6.000000, 3.727187
38.000000, 6.000000, 3.979063
39.000000, 6.000000, 4.119018
40.000000, 6.000000, 4.149024
41.000000, 6.000000, 4.099355
42.000000, 6.000000, 4.005703
0.000000, 7.000000, 2.882482
1.000000, 7.000000, 2.866853
2.000000, 7.000000, 2.862747
3.000000, 7.000000, 2.843927
4.000000, 7.000000, 2.777779
5.000000, 7.000000, 2.641640
6.000000, 7.000000, 2.451256
7.000000, 7.000000, 2.267635
8.000000, 7.000000, 2.151855
9.000000, 7.000000, 2.114372
10.000000, 7.000000, 2.120800
11.000000, 7.000000, 2.132682
